,delivery_partner,vehicle_type,delivery_mode,distance_km,package_weight_kg,delivery_cost
12212,ekart,scooter,express,57.1,42.85,4351.8425245949575
12213,ecom express,ev bike,standard,18.7,22.34,1782.8167996020925
12214,delhivery,truck,standard,54.9,6.25,12263.146242406487
12215,blue dart,bike,standard,108.6,6.86,3661.7094756015244
12216,delhivery,van,standard,164.9,40.42,29822.442007951144
12217,dhl,scooter,express,157.6,5.74,10926.727854578183
12218,ecom express,van,express,135.7,28.03,120000.86911792617
12219,shadowfax,bike,standard,108.5,21.65,2601.6430526959384
12220,shadowfax,scooter,express,115.5,15.49,6575.140038705991
12221,delhivery,ev bike,standard,3.6,41.17,1717.872167904553
12222,fedex,scooter,standard,67.8,4.93,1159.2521977798467
12223,dhl,bike,express,53.1,28.58,11004.416963751975
12224,fedex,scooter,express,175.2,18.84,11380.435693295361
12225,ekart,ev van,express,134.6,4.43,10220.62865912172
12226,blue dart,ev van,express,66.5,38.0,50527.566645514344
12227,ecom express,truck,standard,40.3,19.66,25101.312753314516
12228,shadowfax,ev bike,express,203.1,13.55,6200.6261237147655
12229,dhl,ev van,express,270.2,38.65,69420.42425335172
12230,delhivery,scooter,express,77.4,8.58,7186.31196522754
12231,xpressbees,van,express,184.8,46.83,160457.87418310533
12232,fedex,bike,express,49.2,12.3,4938.819351306556
12233,dhl,truck,standard,73.2,23.67,20797.616437006327
12234,xpressbees,ev van,standard,55.8,15.56,8213.801314509994
12235,blue dart,bike,express,163.1,31.31,26973.776214337908
12236,fedex,ev bike,express,13.7,45.56,5065.660813596653
12237,amazon logistics,van,standard,140.1,15.13,11083.670280841032
12238,fedex,ev van,express,270.4,13.21,51023.11118755365
12239,delhivery,truck,standard,42.8,27.43,19482.804984150764
12240,ekart,van,express,177.6,11.58,26696.5293375402
12241,delhivery,bike,express,13.5,1.46,1660.4895201331778
12242,fedex,truck,standard,165.6,39.46,32242.471198203184
12243,dhl,ev van,express,238.1,36.89,66607.54389488482
12244,blue dart,bike,standard,59.2,36.54,5007.007268875132
12245,xpressbees,bike,standard,115.5,32.04,7149.001170202916
12246,blue dart,ev van,standard,125.5,44.37,19729.417500861226
12247,dhl,scooter,standard,258.9,29.26,5474.055235570675
12248,ecom express,truck,standard,13.7,30.6,26117.32912121505
12249,delhivery,truck,standard,95.8,40.13,34018.82732907729
12250,ekart,van,express,30.1,43.25,19731.719459708846
12251,ekart,van,express,198.1,41.92,40905.75220049317
12252,fedex,ev bike,express,154.4,33.82,7984.430421953681
12253,ekart,scooter,express,160.5,6.69,3937.032903225846
12254,ecom express,scooter,express,53.3,20.53,11336.53516122983
12255,delhivery,ev van,standard,111.8,22.63,12140.378586467761
12256,ecom express,bike,standard,262.4,32.83,14247.360715991861
12257,fedex,scooter,express,185.8,35.49,13908.979722371289
12258,delhivery,ev bike,standard,258.6,28.33,4335.010654024724
12259,blue dart,truck,standard,189.5,3.58,33575.74185469481
12260,delhivery,scooter,standard,172.7,7.63,3555.91278123686
12261,ekart,bike,express,269.7,2.48,8485.299127376571
12262,ekart,van,standard,150.8,45.65,9806.899571868535
12263,shadowfax,bike,express,215.7,6.5,11152.299053236828
12264,ekart,truck,standard,36.6,21.19,5251.284204608988
12265,xpressbees,van,standard,56.2,6.59,9861.538003446936
12266,ekart,ev van,standard,137.0,21.2,4116.778808989991
12267,ekart,ev bike,standard,103.7,1.29,462.121906877808
12268,ekart,van,standard,70.8,27.17,4819.743361738905
12269,ekart,truck,express,99.6,31.09,36022.15171966942
12270,amazon logistics,ev bike,standard,205.4,36.96,2234.913476238738
12271,ekart,scooter,standard,193.0,0.67,1301.405744599317
12272,ekart,truck,standard,36.0,47.04,8061.943704789881
12273,ecom express,bike,express,295.5,16.38,47813.13574179175
12274,shadowfax,ev van,standard,210.1,0.67,7611.131844288339
12275,blue dart,ev van,express,67.8,33.97,42827.32636382627
12276,amazon logistics,ev van,express,27.0,40.41,19209.24914323351
12277,blue dart,scooter,standard,266.8,23.28,8001.9115246197525
12278,blue dart,ev bike,express,109.5,39.88,11838.9335520127
12279,fedex,truck,express,69.8,1.49,28340.71507083706
12280,xpressbees,ev van,express,85.3,9.82,35546.73788853834
12281,blue dart,bike,express,81.2,23.05,14798.655771123296
12282,xpressbees,van,standard,233.0,23.16,39591.42215378238
12283,blue dart,bike,standard,193.7,34.66,8224.163601787068
12284,amazon logistics,ev van,express,104.7,23.38,23832.509601457117
12285,delhivery,scooter,standard,99.8,48.85,5027.109301449656
12286,fedex,bike,express,287.1,17.04,21351.34946400494
12287,shadowfax,bike,standard,193.6,2.86,3144.5080907655997
12288,ekart,ev van,express,217.5,38.69,25020.557579800196
12289,shadowfax,truck,express,90.1,25.61,50908.85139402117
12290,xpressbees,bike,standard,297.1,17.97,12912.863264685795
12291,shadowfax,van,express,224.2,37.45,70228.5192529646
12292,dhl,van,standard,72.9,2.06,6839.289251061199
12293,xpressbees,ev bike,express,276.7,40.13,24121.289314518148
12294,xpressbees,scooter,standard,117.2,4.25,3399.563693953713
12295,ekart,bike,standard,21.3,13.14,481.31839172022717
12296,xpressbees,ev bike,standard,113.2,27.5,3177.8423896268446
12297,ecom express,van,standard,243.2,3.53,39870.77580492386
12298,amazon logistics,bike,express,130.4,27.73,10548.603628608702
12299,xpressbees,van,standard,156.7,3.34,21887.474360503165
12300,xpressbees,van,standard,145.3,4.69,20881.14890120853
12301,amazon logistics,scooter,standard,286.6,0.92,3378.6354552349458
12302,ekart,scooter,express,14.1,10.52,982.4212578935756
12303,xpressbees,bike,express,83.2,34.35,23472.897393463052
12304,blue dart,ev van,express,233.8,8.53,62339.52156738867
12305,dhl,bike,standard,18.9,4.16,656.3422505028158
12306,ecom express,truck,standard,104.4,49.16,55473.24463472167
12307,ekart,bike,express,260.5,48.27,11651.783074101828
12308,amazon logistics,ev bike,express,30.7,11.98,1841.2697403977188
12309,dhl,van,express,50.3,5.74,20629.804358691592
12310,blue dart,ev van,express,98.6,42.2,53577.27876099199
12311,delhivery,bike,express,216.5,31.69,30400.885318688554
12312,fedex,scooter,standard,111.0,1.19,1412.2838908431338
12313,fedex,van,standard,248.7,38.79,24656.213718625502
12314,fedex,bike,express,3.6,39.83,7871.895086548887
12315,delhivery,van,standard,20.3,0.67,2145.3792533111164
12316,ekart,van,standard,252.4,17.52,10428.016612741403
12317,delhivery,van,express,115.7,18.35,57309.60361392056
12318,ekart,truck,standard,151.6,3.91,7935.232679224384
12319,ecom express,scooter,standard,271.9,24.66,10269.59843602374
12320,blue dart,scooter,standard,41.1,7.69,1436.6121152911014
12321,xpressbees,van,standard,188.7,0.92,25193.00917791342
12322,delhivery,truck,express,224.1,1.86,128181.44208992648
12323,shadowfax,van,express,138.8,32.52,43050.91182860145
12324,ecom express,van,standard,75.4,41.36,30910.783766018536
12325,dhl,ev van,express,6.9,6.38,4682.593820060299
12326,blue dart,truck,express,172.1,8.97,136895.26682239707
12327,shadowfax,bike,standard,56.9,28.38,2126.6796248496044
12328,ekart,van,standard,73.8,19.27,4286.091914501697
12329,ecom express,bike,express,101.6,17.51,19806.297084851623
12330,amazon logistics,ev van,standard,176.1,22.9,8846.341492361415
12331,shadowfax,ev bike,standard,265.8,26.6,2631.3208271319004
12332,shadowfax,van,express,223.5,39.98,70790.56074724937
12333,shadowfax,scooter,express,167.0,40.2,10554.536281091876
12334,xpressbees,ev bike,express,31.4,31.4,7477.4443882557625
12335,fedex,scooter,express,55.4,8.69,3987.9495919434835
12336,ecom express,ev bike,express,81.2,8.21,6978.477071535882
12337,dhl,ev van,standard,178.7,29.99,13902.618493719825
12338,delhivery,scooter,standard,204.0,26.98,5965.214242622376
12339,xpressbees,truck,standard,87.6,13.45,26549.39572144131
12340,shadowfax,bike,express,168.5,32.0,12466.428978547327
12341,ecom express,truck,express,221.3,23.95,220903.12956689618
12342,dhl,ev bike,standard,173.3,16.05,2775.79512053688
12343,dhl,bike,standard,291.3,37.13,9218.33008156509
12344,shadowfax,ev van,express,60.5,34.14,18792.70920358406
12345,dhl,scooter,standard,199.9,27.08,4795.710282649346
12346,amazon logistics,van,standard,15.5,47.56,9417.213848273053
12347,dhl,scooter,express,21.0,32.97,7784.261902060601
12348,amazon logistics,ev van,express,3.6,48.9,22556.65405453047
12349,dhl,ev bike,express,95.9,26.14,6309.451722540311
12350,ekart,ev van,standard,9.9,27.41,2024.5986628556636
12351,ecom express,van,express,259.7,18.81,186869.71555705759
12352,fedex,truck,express,151.6,3.21,59752.893436286904
12353,xpressbees,truck,standard,213.7,48.33,69553.24139418961
12354,shadowfax,scooter,express,209.5,28.96,11233.39204051709
12355,dhl,ev van,standard,267.4,16.11,19068.273415740456
12356,ecom express,ev van,standard,31.7,3.61,3905.690772469932
12357,dhl,ev van,express,14.0,7.16,6788.321324777368
12358,ecom express,van,express,214.2,48.57,175031.2129594209
12359,dhl,bike,express,246.6,18.67,22394.27992839824
12360,delhivery,bike,standard,4.5,41.24,3204.4240388840453
12361,delhivery,truck,express,162.8,10.67,102942.35089831446
12362,ecom express,ev bike,express,120.3,4.81,9832.157904727143
12363,fedex,ev bike,express,273.5,41.25,13507.369087849402
12364,dhl,ev bike,express,209.6,34.23,13469.890344551452
12365,amazon logistics,ev bike,express,294.3,46.87,11463.13952406681
12366,shadowfax,ev van,standard,106.2,39.43,7428.805766834628
12367,shadowfax,ev van,standard,43.2,26.07,4627.6635599545825
12368,xpressbees,van,standard,224.0,33.47,47956.017785973236
12369,blue dart,ev bike,express,225.5,41.1,19830.864094011722
12370,delhivery,scooter,standard,126.8,48.0,5399.945893871079
12371,xpressbees,ev bike,express,58.0,17.61,6390.3744030202015
12372,delhivery,bike,express,24.3,41.44,14647.056045840593
12373,xpressbees,bike,standard,192.5,14.72,8660.052722120945
12374,blue dart,scooter,standard,60.4,29.31,3553.8908780689194
12375,ekart,truck,standard,23.4,31.09,5455.5179127717765
12376,xpressbees,ev van,standard,191.5,0.67,16816.345686747067
12377,shadowfax,truck,standard,187.6,33.06,26372.991200724722
12378,amazon logistics,truck,standard,159.6,25.24,23790.99180648735
12379,shadowfax,ev bike,express,227.1,17.99,6854.72086660238
12380,delhivery,ev van,express,107.8,36.06,46157.790519431604
12381,amazon logistics,truck,standard,155.7,33.5,25213.61859249253
12382,blue dart,ev bike,express,286.2,32.14,20590.62115771204
12383,blue dart,van,standard,81.5,21.98,18325.157598710903
12384,amazon logistics,ev van,express,38.6,8.5,9281.757727601638
12385,blue dart,van,standard,115.7,34.9,24882.077386497553
12386,fedex,ev van,standard,151.6,48.12,14056.976596294317
12387,fedex,ev van,express,241.7,38.77,55075.06759192916
12388,xpressbees,ev van,standard,146.6,14.36,15489.352493286393
12389,delhivery,scooter,standard,197.9,18.98,5357.039790271019
12390,delhivery,van,express,180.2,26.91,98571.82373144796
12391,dhl,ev bike,express,136.2,45.88,10310.506898133235
12392,fedex,ev van,standard,239.7,42.52,16520.464934348718
12393,amazon logistics,truck,express,36.5,12.85,24969.11796679215
12394,shadowfax,ev bike,express,226.1,14.15,6353.243959893102
12395,blue dart,van,standard,188.2,42.97,37774.24872079574
12396,ecom express,ev van,express,283.7,34.87,126622.2781820545
12397,fedex,van,express,87.6,40.36,47540.90708041567
12398,ecom express,truck,express,52.2,2.75,47546.818611117764
12399,ecom express,truck,standard,87.8,34.23,47784.15664260416
12400,delhivery,ev van,express,73.4,44.65,50615.34931267236
12401,fedex,ev bike,standard,258.7,27.26,3216.05527280818
12402,dhl,ev van,standard,193.0,37.9,17823.440401986216
12403,fedex,bike,express,152.8,5.76,11279.348993900418
12404,ekart,scooter,standard,224.3,41.0,2066.125700830643
12405,shadowfax,ev van,standard,19.4,2.83,974.6511579370887
12406,fedex,bike,express,114.2,26.15,11354.443237714502
12407,blue dart,ev bike,standard,104.8,10.13,2038.9929196550993
12408,ekart,truck,standard,276.4,49.52,19942.590894472785
12409,blue dart,van,standard,98.3,31.7,20909.40940162118
12410,amazon logistics,bike,standard,90.9,49.52,3751.7761163886785
12411,xpressbees,bike,express,282.1,37.56,49209.897020804354
12412,dhl,ev van,standard,248.2,24.43,16953.727542774086
12413,dhl,bike,standard,221.9,45.54,8434.564773515212
12414,delhivery,ev bike,standard,17.7,13.18,800.8584070309035
12415,ekart,bike,express,75.1,48.79,6577.394479670889
12416,ecom express,van,express,60.2,7.65,47991.22436546043
12417,delhivery,bike,express,255.0,25.6,33124.204155378204
12418,blue dart,truck,standard,280.5,43.7,70615.33011986887
12419,amazon logistics,bike,standard,203.5,31.0,4524.529219500751
12420,fedex,truck,standard,256.6,40.5,37785.77010805661
12421,delhivery,ev van,express,144.2,29.48,53445.5217052137
12422,fedex,ev bike,standard,41.5,24.35,987.1843534817342
12423,xpressbees,truck,standard,221.9,40.07,63327.309109537615
12424,dhl,ev van,express,265.1,18.74,63785.26739016671
12425,dhl,ev bike,express,259.8,34.86,13313.944183635414
12426,shadowfax,ev bike,express,62.3,3.11,1773.0668379110507
12427,shadowfax,truck,standard,288.1,14.04,26664.212594412253
12428,ecom express,van,standard,133.1,47.31,42588.84180492825
12429,ekart,truck,express,148.7,22.04,38804.55194157866
12430,ekart,bike,express,149.1,32.27,6738.393370001769
12431,blue dart,ev van,standard,68.3,6.91,7170.899973321862
12432,shadowfax,ev van,express,147.8,1.59,18081.336936356398
12433,fedex,scooter,express,174.2,19.89,11908.98013640318
12434,dhl,ev bike,express,280.7,9.43,12139.810068529012
12435,xpressbees,ev bike,express,288.1,21.15,21282.13841913005
12436,dhl,ev van,express,67.8,19.14,25775.25047422946
12437,blue dart,ev van,express,42.4,29.67,37486.36070102891
12438,fedex,ev bike,express,64.0,37.25,5545.005555190023
12439,dhl,ev van,standard,93.0,19.31,8085.207497462346
12440,dhl,scooter,standard,162.6,30.79,4368.234227753071
12441,fedex,van,express,136.2,4.49,37402.81666360844
12442,ecom express,bike,standard,3.8,12.01,1487.0268430037838
12443,blue dart,ev van,express,15.7,41.1,34534.0390731466
12444,ekart,scooter,standard,219.2,40.2,2110.3436070674493
12445,shadowfax,truck,standard,247.1,13.49,25713.158506196876
12446,delhivery,bike,standard,236.3,47.74,9245.420992885885
12447,blue dart,scooter,standard,3.6,46.17,3248.5548913683924
12448,shadowfax,ev bike,express,139.3,40.44,6141.741358205244
12449,fedex,scooter,express,280.6,14.43,15573.356146887574
12450,shadowfax,truck,express,297.1,14.96,97548.16068318808
12451,blue dart,van,express,294.0,27.54,160952.42983903422
12452,amazon logistics,truck,express,263.5,12.51,104364.36657082952
12453,fedex,scooter,express,192.0,30.41,13272.46878047872
12454,blue dart,van,standard,262.7,21.73,41110.731067226785
12455,ekart,bike,standard,273.2,19.38,2745.993162029329
12456,ekart,truck,express,173.9,36.3,45785.7521839205
12457,fedex,bike,express,41.2,27.62,8515.493442344772
12458,fedex,ev bike,express,53.3,10.03,2791.6503691627286
12459,dhl,ev van,express,205.9,14.11,52171.29750738704
12460,fedex,van,standard,191.2,32.75,20577.04548663808
12461,ecom express,ev van,standard,125.9,1.21,12888.673665333505
12462,ecom express,van,standard,34.3,48.78,30170.71868965352
12463,fedex,ev van,standard,66.8,22.73,5481.756980889596
12464,ecom express,truck,express,297.1,43.44,335216.01377514156
12465,amazon logistics,truck,express,3.6,42.13,41520.37056952059
12466,amazon logistics,van,standard,249.7,34.8,21489.597187888605
12467,ekart,ev van,standard,184.5,42.64,7069.399871397
12468,dhl,ev bike,standard,13.4,9.42,522.0680661327854
12469,dhl,van,standard,127.9,36.94,23312.14095418485
12470,delhivery,ev bike,standard,244.6,21.31,4084.0479581307864
12471,delhivery,van,standard,185.5,38.34,31326.129700188198
12472,shadowfax,ev van,express,277.8,43.91,55592.22100932941
12473,dhl,van,express,288.6,16.6,101121.95629119745
12474,amazon logistics,ev bike,standard,248.3,18.46,2341.4004186518378
12475,xpressbees,scooter,express,217.9,30.91,25495.323787533795
12476,delhivery,truck,standard,33.4,15.06,13143.306301815319
12477,amazon logistics,truck,standard,229.9,33.91,32243.91191173867
12478,fedex,truck,standard,191.5,14.38,23043.395321171924
12479,shadowfax,van,standard,114.4,24.06,11630.601179237416
12480,ecom express,bike,standard,236.5,49.27,15364.512354171457
12481,shadowfax,ev van,standard,133.7,28.62,8242.45121867335
12482,delhivery,scooter,express,211.1,27.23,19431.653773616486
12483,blue dart,scooter,express,213.1,27.63,25597.679174661418
12484,dhl,ev bike,standard,228.7,30.28,3860.8033456178514
12485,delhivery,bike,express,105.0,27.35,17119.197614407643
12486,blue dart,ev bike,express,56.1,14.97,5195.250940019908
12487,amazon logistics,van,standard,218.6,14.88,16503.11242186945
12488,blue dart,ev bike,express,119.8,44.7,14383.372916641905
12489,blue dart,scooter,standard,292.1,12.56,6903.894024113427
12490,fedex,ev bike,express,297.1,11.87,9769.38502596529
12491,delhivery,ev van,standard,283.5,5.74,19963.065609537978
12492,ekart,truck,standard,141.6,39.01,12866.35022457848
12493,ecom express,truck,express,283.7,29.46,300204.7169466661
12494,shadowfax,truck,express,12.3,6.7,8945.904298502192
12495,ecom express,van,standard,194.2,31.84,42035.345113149786
12496,dhl,truck,standard,293.4,24.54,55008.13220376781
12497,shadowfax,truck,express,4.6,23.73,23176.50333829354
12498,ekart,bike,standard,228.6,20.35,2628.318298664258
12499,dhl,van,express,178.5,46.78,98925.33039691721
12500,blue dart,truck,standard,21.4,5.4,6323.817385807
12501,amazon logistics,scooter,express,64.2,10.94,4203.084859171795
12502,blue dart,van,standard,41.5,1.91,5528.736340133634
12503,blue dart,van,express,223.3,47.13,155294.01023292416
12504,fedex,truck,express,234.9,12.37,104806.59966643483
12505,dhl,scooter,express,292.0,3.08,17734.247294232893
12506,ekart,ev van,standard,232.3,45.09,8195.209296796753
12507,dhl,truck,express,234.9,47.94,175503.2988310885
12508,ekart,truck,standard,132.3,38.41,11585.991887154616
12509,ecom express,ev bike,express,47.1,32.11,10055.960253706715
12510,shadowfax,bike,standard,127.6,13.24,2531.7781773158817
12511,ecom express,scooter,express,32.5,14.21,8118.589040709761
12512,ecom express,scooter,express,254.3,20.11,33845.53643841258
12513,shadowfax,truck,express,134.0,28.22,60366.01261241573
12514,amazon logistics,van,standard,238.4,23.1,17654.149839742557
12515,delhivery,ev bike,standard,285.9,41.65,5194.097878332721
12516,ecom express,ev van,standard,106.6,24.52,18131.55037325579
12517,fedex,van,express,63.0,34.86,44640.32194931937
12518,xpressbees,scooter,express,74.3,17.39,10962.365337890516
12519,ekart,van,standard,223.2,18.61,9639.774843872443
12520,delhivery,van,standard,73.1,40.51,20919.139423773875
12521,amazon logistics,van,standard,101.1,29.64,12978.64140592798
12522,fedex,van,express,183.5,23.6,62142.760465169966
12523,blue dart,van,express,134.3,3.71,66332.81528465179
12524,shadowfax,van,express,64.7,46.06,42713.666596300645
12525,delhivery,van,standard,145.3,28.95,24101.456838447633
12526,fedex,van,express,134.0,29.43,60520.82519765497
12527,xpressbees,scooter,standard,196.8,18.51,6593.866341022484
12528,xpressbees,truck,express,121.8,36.07,171892.1318479729
12529,fedex,van,standard,242.8,21.61,22245.384503242884
12530,dhl,scooter,express,71.6,12.39,6785.482236851477
12531,amazon logistics,ev bike,express,152.1,31.99,7301.525332680532
12532,blue dart,ev van,standard,240.6,30.88,25425.439527334864
12533,delhivery,van,standard,81.3,7.75,10823.409247395439
12534,blue dart,truck,express,71.7,27.88,90713.2927091838
12535,amazon logistics,ev van,express,172.4,45.6,44157.524637502116
12536,fedex,scooter,standard,162.2,20.28,2742.218931574505
12537,delhivery,scooter,express,285.7,26.39,25144.44497089674
12538,blue dart,van,express,241.7,9.47,124105.51657145271
12539,delhivery,van,express,92.8,35.92,76998.07805205102
12540,amazon logistics,van,standard,43.5,10.53,4915.837463599194
12541,fedex,truck,standard,76.0,31.26,18717.729005548816
12542,delhivery,scooter,standard,122.0,42.84,4830.245142513525
12543,blue dart,truck,standard,28.0,23.44,16712.85987833206
12544,shadowfax,bike,express,80.9,14.7,5886.663297771753
12545,shadowfax,ev van,express,240.9,42.87,48025.31431254495
12546,amazon logistics,scooter,standard,173.7,8.47,2119.4081933955194
12547,delhivery,scooter,standard,12.6,16.5,1244.8649639086661
12548,delhivery,bike,express,3.7,2.57,1067.391733011965
12549,delhivery,van,standard,116.0,21.88,20452.53921827104
12550,dhl,ev van,express,13.6,3.89,5304.039066667347
12551,xpressbees,truck,standard,92.9,17.44,28508.730524402134
12552,shadowfax,ev bike,standard,69.8,32.09,1212.3188746844955
12553,blue dart,truck,express,145.4,33.14,138892.7616146919
12554,shadowfax,van,standard,167.2,44.39,16395.458581947016
12555,shadowfax,ev bike,express,205.5,43.84,7704.78712617993
12556,blue dart,van,express,127.7,38.88,101603.0356707063
12557,xpressbees,ev bike,express,180.4,17.45,14577.084792089674
12558,dhl,ev van,standard,185.3,1.81,11491.15347328397
12559,delhivery,bike,express,100.0,21.54,14037.862485715219
12560,dhl,scooter,express,88.5,21.42,8238.052159778697
12561,xpressbees,ev bike,express,200.5,4.52,12826.918695228549
12562,xpressbees,bike,express,68.5,0.81,8410.482271255374
12563,ekart,ev bike,standard,19.5,23.17,386.54781357351
12564,xpressbees,scooter,standard,17.0,45.3,3658.9071545393135
12565,dhl,truck,standard,101.2,27.32,25964.57907937336
12566,fedex,truck,express,293.1,15.61,119532.23562255643
12567,delhivery,scooter,express,148.8,17.97,13328.431858532931
12568,ecom express,ev van,standard,95.0,48.04,22424.418080914216
12569,amazon logistics,ev van,express,201.0,49.52,43901.06055164919
12570,blue dart,scooter,standard,43.4,47.94,4271.5047400626245
12571,shadowfax,ev bike,standard,260.8,47.51,2614.779073864463
12572,amazon logistics,ev bike,express,297.1,30.97,9982.666913988833
12573,fedex,scooter,standard,187.5,18.77,3259.8655324157144
12574,blue dart,ev bike,standard,36.9,10.33,1051.6809640771844
12575,ecom express,scooter,express,277.6,45.22,43083.62480852068
12576,ekart,scooter,standard,34.2,26.4,679.5317294345627
12577,dhl,ev bike,standard,40.7,35.81,1732.5179719933262
12578,dhl,bike,express,215.5,22.43,23172.27744116622
12579,ecom express,ev van,standard,217.6,2.09,22931.446649002162
12580,fedex,van,express,68.6,36.73,47594.42479515335
12581,xpressbees,van,standard,205.6,37.17,46795.93383916751
12582,ecom express,ev bike,express,278.2,43.24,28962.80352255183
12583,ecom express,ev van,express,250.4,44.32,137321.46414982082
12584,amazon logistics,ev bike,express,80.3,9.0,2683.413475404652
12585,ecom express,van,standard,104.0,46.0,35506.07749037918
12586,ecom express,ev bike,express,292.7,45.08,29208.26960085926
12587,ecom express,van,express,139.7,30.44,113424.62450747819
12588,shadowfax,truck,express,257.7,2.94,78819.37800808466
12589,blue dart,ev bike,express,10.3,47.96,8409.794717110499
12590,blue dart,truck,standard,10.7,35.72,20705.494862254825
12591,amazon logistics,bike,express,50.8,6.11,3852.2854880782447
12592,ekart,bike,standard,82.5,39.11,1706.0030985421565
12593,amazon logistics,bike,standard,265.5,25.58,4966.409858608383
12594,ecom express,bike,express,43.9,44.23,24823.867591678994
12595,shadowfax,ev bike,express,246.5,7.87,7427.821689644152
12596,xpressbees,scooter,express,207.8,25.76,25578.726903525105
12597,ekart,scooter,standard,141.4,43.99,1835.5730266571572
12598,dhl,scooter,standard,157.8,32.1,4014.4356453808514
12599,ecom express,scooter,standard,174.5,19.86,7153.657463980223
12600,amazon logistics,ev van,express,92.0,13.01,18777.27114288709
12601,blue dart,bike,express,239.3,36.53,37352.08177656794
12602,ecom express,scooter,standard,51.2,19.77,2968.255030624209
12603,fedex,scooter,express,50.8,33.14,6664.58672444534
12604,amazon logistics,bike,standard,185.7,20.16,4191.713589700795
12605,fedex,scooter,standard,96.8,24.24,2476.264970679075
12606,shadowfax,scooter,express,5.2,5.36,788.7979046294923
12607,blue dart,van,standard,193.2,43.42,35122.900485256025
12608,dhl,bike,standard,241.8,38.76,8507.747618923075
12609,xpressbees,ev van,express,199.7,48.62,107525.99690389028
12610,amazon logistics,ev bike,express,142.8,27.49,6685.115653853636
12611,delhivery,truck,standard,207.6,36.92,45702.46843642373
12612,delhivery,truck,express,132.5,5.27,84551.21755847672
12613,xpressbees,ev bike,standard,193.4,17.41,3935.237120709955
12614,fedex,ev van,express,125.7,10.1,26728.585081490324
12615,amazon logistics,bike,express,219.5,12.18,15173.039276436275
12616,delhivery,truck,standard,286.5,8.71,47696.93308397939
12617,dhl,scooter,standard,224.1,19.69,4992.07345947717
12618,delhivery,van,express,179.3,14.63,79621.16981133327
12619,xpressbees,ev van,express,44.6,24.44,31289.180859604334
12620,amazon logistics,truck,standard,28.0,43.9,14376.517377756945
12621,blue dart,truck,standard,6.1,6.57,4968.2874512469225
12622,ekart,bike,express,148.5,11.67,5920.3272722380525
12623,amazon logistics,ev bike,express,82.2,34.64,5356.637007013319
12624,delhivery,ev bike,standard,51.7,8.09,966.949420508381
12625,ecom express,van,express,78.3,16.09,62085.525330832614
12626,amazon logistics,van,standard,289.6,15.72,20325.515955769293
12627,blue dart,truck,express,67.3,48.58,126409.22169777795
12628,blue dart,ev bike,standard,158.9,19.14,3035.883942549829
12629,xpressbees,truck,standard,294.3,46.52,84734.64745756946
12630,delhivery,ev van,express,41.5,13.87,18536.490379677023
12631,fedex,scooter,express,73.3,6.93,4040.5657893102384
12632,delhivery,ev bike,standard,177.6,29.46,3477.7686565811928
12633,fedex,ev bike,express,218.2,40.27,11439.644529718242
12634,dhl,ev bike,standard,256.1,30.37,3647.223989286714
12635,xpressbees,van,standard,198.6,15.03,33324.52870339416
12636,amazon logistics,van,express,9.3,40.92,31025.313468382297
12637,fedex,van,express,65.6,42.28,49814.45999203504
12638,shadowfax,scooter,express,164.9,23.63,8927.134460950263
12639,shadowfax,bike,standard,38.0,45.93,2498.7889812292483
12640,ecom express,scooter,standard,41.3,46.15,4990.7586629712105
12641,ekart,truck,express,243.9,32.3,54771.47007076718
12642,ekart,scooter,standard,226.0,12.46,1767.69823016908
12643,dhl,ev bike,express,61.1,39.15,7226.023439040816
12644,xpressbees,ev bike,express,148.5,44.01,17285.574729572338
12645,amazon logistics,van,express,293.8,16.33,69980.64220071484
12646,ekart,van,express,177.8,6.87,21733.92146157294
12647,delhivery,ev van,express,217.4,22.28,61664.75808142166
12648,shadowfax,bike,express,196.6,28.78,15278.310517957569
12649,shadowfax,scooter,standard,126.4,24.49,2314.1355998997024
12650,dhl,ev bike,express,245.3,49.52,16869.893865192695
12651,blue dart,ev van,express,24.4,40.84,41683.53118462903
12652,amazon logistics,van,express,182.2,48.39,65527.182380861464
12653,amazon logistics,ev bike,express,124.1,9.29,4335.259998284799
12654,xpressbees,scooter,standard,262.8,12.01,7098.035826376427
12655,shadowfax,ev van,standard,186.2,1.09,7488.533190898212
12656,ekart,truck,standard,82.4,38.2,10851.167931271144
12657,dhl,ev bike,standard,229.2,35.26,3851.9583972926093
12658,delhivery,scooter,standard,119.2,19.27,3689.2173495571037
12659,ekart,van,standard,233.3,20.96,9661.205300016927
12660,fedex,ev bike,express,34.9,20.37,2774.112892551571
12661,dhl,van,standard,110.4,7.04,12567.189651013443
12662,delhivery,ev van,standard,170.9,23.3,16212.864458933442
12663,ecom express,ev bike,express,38.5,40.19,10749.778109023448
12664,ekart,bike,express,151.7,21.58,5979.145337725018
12665,fedex,ev van,express,264.6,14.59,47915.42167634526
12666,fedex,van,standard,20.1,27.3,7431.920734711329
12667,fedex,truck,standard,131.7,12.34,19352.66205698966
12668,amazon logistics,van,standard,238.3,7.96,16349.68617644036
12669,xpressbees,ev bike,standard,36.5,26.79,1829.8172577490946
12670,amazon logistics,van,express,16.3,30.97,25145.123856189468
12671,dhl,van,express,145.6,4.72,54761.23895169842
12672,ekart,truck,express,283.8,19.0,64357.54787446375
12673,dhl,scooter,standard,197.6,37.77,5324.659460873381
12674,shadowfax,van,standard,258.1,40.86,22895.65943124548
